lat,lng,Place,Country,Language,Year,Translator,img,Title,Publisher,Address,Comments
35.6898441347,51.4219464398,Tehran,Iran,Persian,1950,Masʻud Barzin,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/1950---Barzin.jpg,یتیم : ژن ئر  / Yatim: Jane Eyre  / Orphan: Jane Eyre  ,Maʻrefat,Ma'refat Publishing House. 6 Lalehzar Street. Tehran. Iran.,Abridged
35.7019394708,51.4368934678,Tehran,Iran,Persian,1982,Mahdi Afshar,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/1982-Afshar.jpg,Jane Eyre /جین ایر,Zarrin,Zarrin Publishing House (1982 Print). 1 Saber St.. Ordibehesht Ave.. Enqelab Ave.. Tehran. Iran. Dabir Publishing House (2005 Print). 1 Vahid St.. Ordibehesht Ave.. Enqeleab Ave.. Zip Code 1314973871. Tehran. Iran. Samir Publishing House (2005 Print). 1 Vahid St.. Miniri Navid St.. Enqelab Ave.. Tehran. Iran. Saadi Bookstore (1987 Print). 930 Vali Asr Ave.. Moniriyeh Sq.. Opposite Akhavan Hospital. Tehran. Iran.. Mahtab Publishing House (1987 and 2009 Prints). 85 Vahid Nazari St.. 12 Farvardin Ave.. Enqelab Ave.. Tehran. Iran. ,The image presents the covers of the successive editions
35.6866449764,51.4223188595,Tehran,Iran,Persian,1983,Parviz Najmoddini,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/1983%20Najmoddini.JPEG,Jane Eyre /جین ایر,Towsan,Towsan Publishing House. Unit 16. Third Floor. Alborz Building. Taqavi Sq.. Lalehzar Ave. Tehran. Iran.,Translation of E. M. Attwood's simplified version
35.7010293664,51.3915355038,Tehran,Iran,Persian,1985,Nazer Neʻmati,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/1985%20Ne%CA%BBmati.jpg,Jane Eyre / جین ایر,Mojarrad,Mojjarad Publishing House. Unit 10. 1530 Enqelab Sq.. Tehran. Iran.,Abridged
35.6978445287,51.3979556985,Tehran,Iran,Persian,1991,Mohammad-Taqi Bahrami Horran,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/1991-Bahrami-Horran.jpg,Jane Eyre /جین ایر,Mohammad-Taqi Bahrami Horran,Mohammad Taqi Bahrami Horran Publishing House (1991 Print). Tehran. Iran. Jami Publishing House (1996. 2001 and 2010 Prints). 52 Vahid Nazari St.. Daneshgah Ave.. Enqelab Ave.. Tehran. Iran,Self-published. except the 1996 edition which is with Jami
35.6967812618,51.3987951149,Tehran,Iran,Persian,1991,Nastaran Jameʻi,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/1991%20Jameʻi/1991%20Jameʻi%20(2).JPEG,Jane Eyre /جین ایر,Abnus,Abnus Publishing House (1991 Print). 19 Khas St.. Daneshgah Ave.. Enqelab Ave.. Tehran. Iran. Nahal Navidan Publishing House (1996 and 2014 Prints). 17 Javari St.. Tajeri St.. 10 Farvardin St.. Piroozi Ave.. Tehran. Iran.,Abridged
35.7183720469,51.4098569495,Tehran,Iran,Persian,1991,Parvin Qa’emi,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/1991%20Qa%E2%80%99emi.jpg,Jane Eyre /جین ایر,Ketab-e Afarin,Afarin Publishing House (1991 Print). Tehran. Iran. Adib Publishing House (1995 Print). 171 Javid St.. Vahid Nazari St.. Enqelab Ave.. Zip Code 119-13145.,Abridged
35.7316932188,51.471883411,Tehran,Iran,Persian,2004,Zohreh Bakubi,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2004%20Bekubi.JPEG,Jane Eyre /جین ایر,Sarvestan,Sarvestan Publishing House (2002 Print). 229 Shahid Rahmati St.. Kerman Jonoobi (South Kerman) Ave.. Tehran. Iran. Negah Bustan Publishing House (2008 Print). Unit 7. 12 Farvardin Mall. 12 Farvardin Ave.. Enqelab Ave.. Tehran. Iran. ,Abridged
35.8340513128,51.0194105509,Tehran,Iran,Persian,2004,Maryam Moayyedi,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2004%20Moayedi.JPEG,Jane Eyre /جین ایر,Amir Kabir,Amir Kabir Publishing House. 2 Esteqlal Sq.. Jomhuri Ave.. Tehran. Iran.,Translation of E. M. Attwood's simplified version
35.7182105179,51.3946679203,Tehran,Iran,Persian,2010,Reza Reza’i,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2010%20Reza'i.png,Jane Eyre /جین ایر,Nashr-e Ney,Ney Publishing House. 20 Rahi Moayeri Ave.. Dr Fatemi Ave.. Zip Code 1413717371. Tehran. Iran.,Complete 
35.7520509996,51.3755574326,Tehran,Iran,Persian,2011,Maryam Rasuli,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2011%20Rasuli.JPEG,Jane Eyre /جین ایر,Ordibehesht,Ordibehesht Publishing House. 316 12 Farvardin Ave.. Enqelab Ave.. Tehran. Iran.,
35.698644967,51.3919726224,Tehran,Iran,Persian,2012,Maryam Dastum,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2012%20Dastum.JPEG,Jane Eyre /جین ایر,Zaban-e mehr,Zaban-e Mehr Publishing House. Unit 4. 7 Gashtasb Dead End. Between Nazari St. and Ravanmehr St.. S. Kargar Ave.. Enqelab Ave.. Tehran. Iran.,Translated from the text of the abridged Oxford Bookworms Series for English language learners
35.6980132592,51.3906047177,Tehran,Iran,Persian,2013,Hanieh Chupani,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2013%20Chupani.png,Jane Eyre /جین ایر,Fararuy,Fararuy Publishing House. 16 Sholehvar St.. S. Kargar (Kargar Jonoobi). Tehran. Iran.,
35.6965703643,51.3969217102,Tehran,Iran,Persian,2013,Mirinda Moqimi,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2013%20Moqimi.jpg,Jane Eyre /جین ایر,Qasidak Saba & Hegmatan,Qasidak Saba Publishing House. 21 E. Farahani (Farahani Sharqi). Fakhr Razi. Enqelab Ave.. Tehran. Iran. In collaboration with: Hegmatan Publishing House. 3 Bakhtiari St.. Vahid Nazari St.. ENqelab Ave.. Tehran. Iran.,
35.7567300112,51.3594871302,Tehran,Iran,Persian,2013,Marzieh Khosravi,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2013-Khosravi.jpg,Jane Eyre /جین ایر,Ruzgar,Ruzgar Publications. Unit 4. Third Floor. Publishers' Complex. 12 Farvardin Ave.. Tehran. Iran.,
35.6975473254,51.3954587252,Tehran,Iran,Persian,2014,Armin Hedayati,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2014%20Hedayati.JPEG,Jane Eyre /جین ایر,Bongah-e tarjomeh va nashr-e ketab-e parseh,Bongah-e Tarjomeh va Nashr-e Ketab-e Parseh Publications. 74 E. Shahada-ye Jandarmeri Ave.. Fakhr Razi Ave.. Enqelab Ave.. Tehran. Iran.,Abridged illustrated version
35.6951093361,51.3913461199,Tehran,Iran,Persian,2014,ʻAtefeh Moradmand,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2014%20Moradmand.JPEG,Jane Eyre /جین ایر,Atefeh Moradmand,Moradmand Publishing House. Tehran. Iran.,Abridged
34.6391651156,50.8668279779,Tehran,Iran,Persian,2015,Majid Qolami Shahedi,https://github.com/digitalkoine/persian_storymap/blob/main/persian/2015%20Qolami%20Shahedi.txt,Jane Eyre /جین ایر,Navid Zohur,"Navid Zohur Pubishing House
17 Ershadi St., Momtaz St., Shohada Ave., 
Qom, Iran",
35.8295013148,51.0125053012,Tehran,Iran,Persian,2015,Nushin Ebrahimi,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2015%20Ebrahimi.JPEG,Jane Eyre /جین ایر,Ofoq,Ofoq Publishing House. 1 Javid St.. W. Shahid Nazari St.. 12 Farvardin Ave.. Enqelab Ave.. Tehran. Iran.,Translation of Anna Claybourne's rewriting; first published 2009
35.795578362,51.4616723919,Tehran,Iran,Persian,2016,Sepideh Habibi,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2016%20Habibi.JPEG,Jane Eyre /جین ایر,Mo'aseseh-ye negaresh-e nlektronik-e ketab,Mo'aseseh-ye Negaresh-e Elektronik-e Ketab. 25 Bayat St.. S. Kamraniyeh Ave.. Farmaniyeh. Tehran. Iran,Abridged illustrated version
35.7184439986,51.3910993424,Tehran,Iran,Persian,2016,Mahta Labafi,https://raw.githubusercontent.com/digitalkoine/persian_storymap/main/persian/2016%20Labafi.jpg,Jane Eyre /جین ایر,Shahr-i qesseh,Shahr-i Qesseh Publishing House. 22 Zomorrod St.. N. Kargar Ave.. Tehran. Iran,Translation of an adaptation for children by Maggie Pearson (2011)
